mouseID	Time	injured	NCAMean	NCA10	NCAMax	NCWMean	NCW10	NCWMax	numb	Nnum
c1	3	1	NaN		NaN	NaN		NaN	0	0
c1	7	1	NaN		NaN	NaN		NaN	0	0
c1	14	1	0.264069264		0.194496991	0.748177666		0.694091158	2	0.545454545
ge0	-7	1	1.677815411		1.043717098	1.272958883		0.885814992	2	0.428571429
ge0	-6	1	0.66553768		0.830853742	0.760587743		0.705610427	3	0.642857143
ge0	-4	1	0.656646909		1.12542916	0.966453374		1.408574582	9	1.928571429
ge0	-0.014	1	NaN		NaN	NaN		NaN	NaN	NaN
ge0	0.014	1	NaN		NaN	NaN		NaN	0	0
ge0	0.042	1	NaN		NaN	NaN		NaN	0	0
ge0	1	1	NaN		NaN	NaN		NaN	0	0
ge0	3	1	NaN		NaN	NaN		NaN	NaN	NaN
ge0	7	1	0.394369179		0.213206683	1.379986806		0.941705144	1	0.214285714
ge0	14	1	NaN		NaN	NaN		NaN	0	0
ge1	-7	1	1.001376462		0.739548023	1.090575642		1.180878357	6	1
ge1	-6	1	0.540949759		0.348022599	0.701275046		0.493428969	2	0.333333333
ge1	-4	1	1.457673778		1.912429379	1.208149313		1.325692673	10	1.666666667
ge1	-0.014	1	NaN		NaN	NaN		NaN	NaN	NaN
ge1	0.014	1	NaN		NaN	NaN		NaN	0	0
ge1	0.042	1	0.456297316		0.328813559	1.231820412		1.166591616	5	0.833333333
ge1	1	1	1.453544391		2.169491525	1.362809924		1.198139375	11	1.833333333
ge1	3	1	2.527185134		3.837288136	1.358118954		1.419984031	10	1.666666667
ge1	7	1	1.067446662		0.628813559	1.052756777		0.926521005	2	0.333333333
ge1	14	1	3.686510668		3.603389831	1.182581863		0.938718942	2	0.333333333
